session_id,parent_tracking_id,markov_threat_score,sequence_summary,anomaly_reasons
172.19.131.174_20220122104719_000000,172.19.131.174_20220121104550_000000,0.92,DYNAMIC_QUERY -> SENSITIVE_FILE_ACCESS,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_CLIENT_ERR (p=0.0027)
10.143.2.91_20220124100107_000000,10.143.2.91_20220124100107_000000,0.92,FORM_SUBMISSION,Rare transition: SENSITIVE_FILE_ACCESS -> [SESSION_RESUME]_FORM_SUBMISSION (p=0.0015)
10.143.2.91_20220123105450_000000,10.143.2.91_20220123105450_000000,0.9,GENERIC_GET -> DYNAMIC_QUERY -> STATIC_ASSET -> ADMIN_ACTION,Rare transition: STATIC_ASSET -> [SESSION_RESUME]_ADMIN_ACTION (p=0.0002)
10.143.3.65_20220121175820_000000,10.143.3.65_20220121175820_000000,0.9,AUTH_ACTION -> GENERIC_GET -> STATIC_ASSET,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_CLIENT_ERR (p=0.0078)
10.143.2.91_20220121163612_000000,10.143.2.91_20220121163612_000000,0.85,GENERIC_GET -> FORM_SUBMISSION -> STATIC_ASSET -> SENSITIVE_FILE_ACCESS,Rare transition: SENSITIVE_FILE_ACCESS -> [HUMAN_SPEED]_GENERIC_GET (p=0.0241)
10.143.2.25_20220122161726_000000,10.143.2.25_20220122161726_000000,0.85,STATIC_ASSET -> ADMIN_ACTION -> GENERIC_GET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_GENERIC_GET (p=0.0204)
10.143.3.65_20220121170333_000000,10.143.3.65_20220121170333_000000,0.84,GENERIC_GET -> STATIC_ASSET -> DYNAMIC_QUERY,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_GENERIC_GET (p=0.0204)
172.19.131.174_20220122044649_000000,172.19.131.174_20220121104550_000000,0.83,DYNAMIC_QUERY -> SENSITIVE_FILE_ACCESS,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_CLIENT_ERR (p=0.0027)
10.143.2.91_20220124124253_000000,10.143.2.91_20220124124253_000000,0.79,GENERIC_GET -> STATIC_ASSET -> AUTH_ACTION,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0167)
10.143.2.91_20220122101206_000000,10.143.2.91_20220122101206_000000,0.79,GENERIC_GET -> DYNAMIC_QUERY -> STATIC_ASSET -> CLIENT_ERR,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_CLIENT_ERR (p=0.0019)
10.143.3.65_20220123124124_000000,10.143.3.65_20220123124124_000000,0.78,STATIC_ASSET,Rare transition: SENSITIVE_FILE_ACCESS -> [HUMAN_SPEED]_CLIENT_ERR (p=0.0005)
172.19.131.174_20220124104738_000000,172.19.131.174_20220124104738_000000,0.78,STATIC_ASSET -> AUTH_ACTION -> GENERIC_GET,Rare transition: FORM_SUBMISSION -> [MACHINE_SPEED]_AUTH_ACTION (p=0.0012)
::1_20220121071258_000000,::1_20220121071258_000000,0.77,GENERIC_GET -> WAF_ALERT,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_WAF_ALERT (p=0.0260)
10.143.2.91_20220121101537_000000,10.143.2.91_20220121101537_000000,0.76,GENERIC_GET -> AUTH_ACTION -> STATIC_ASSET,Rare transition: AUTH_ACTION -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0124)
10.143.2.25_20220123120654_000000,10.143.2.25_20220123120654_000000,0.76,DYNAMIC_QUERY -> STATIC_ASSET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_ADMIN_ACTION (p=0.0097)
10.143.2.91_20220121133944_000000,10.143.2.91_20220121133944_000000,0.74,GENERIC_GET -> STATIC_ASSET -> FORM_SUBMISSION -> SENSITIVE_FILE_ACCESS,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_CLIENT_ERR (p=0.0078)
172.19.131.174_20220123164935_000000,172.19.131.174_20220121104550_000000,0.72,SENSITIVE_FILE_ACCESS -> FORM_SUBMISSION,Rare transition: FORM_SUBMISSION -> [HUMAN_SPEED]_DYNAMIC_QUERY (p=0.0262)
10.143.2.91_20220124083619_000000,10.143.2.91_20220124083619_000000,0.72,GENERIC_GET -> STATIC_ASSET -> DYNAMIC_QUERY,Rare transition: STATIC_ASSET -> [SESSION_RESUME]_GENERIC_GET (p=0.0002)
10.143.2.91_20220124064233_000000,10.143.2.91_20220124064233_000000,0.7,GENERIC_GET -> AUTH_ACTION -> STATIC_ASSET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_CLIENT_ERR (p=0.0027)
10.143.2.91_20220122112003_000000,10.143.2.91_20220122112003_000000,0.69,STATIC_ASSET -> AUTH_ACTION,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_CLIENT_ERR (p=0.0019)
10.143.2.91_20220121150518_000000,10.143.2.91_20220121150518_000000,0.69,STATIC_ASSET -> AUTH_ACTION,Rare transition: AUTH_ACTION -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0124)
10.143.2.91_20220122083319_000000,10.143.2.91_20220122083319_000000,0.68,STATIC_ASSET,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_CLIENT_ERR (p=0.0078)
172.19.131.174_20220121084837_000000,172.19.131.174_20220121084837_000000,0.68,GENERIC_GET -> STATIC_ASSET,Rare transition: FORM_SUBMISSION -> [HUMAN_SPEED]_CLIENT_ERR (p=0.0006)
10.143.2.25_20220122072647_000000,10.143.2.25_20220122072647_000000,0.68,GENERIC_GET -> STATIC_ASSET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_GENERIC_GET (p=0.0204)
10.143.2.91_20220124161335_000000,10.143.2.91_20220124161335_000000,0.67,FORM_SUBMISSION -> GENERIC_GET -> SENSITIVE_FILE_ACCESS,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_CLIENT_ERR (p=0.0027)
10.143.2.25_20220121124205_000000,10.143.2.25_20220121124205_000000,0.67,STATIC_ASSET -> ADMIN_ACTION -> GENERIC_GET,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_DYNAMIC_QUERY (p=0.0543)
172.19.131.174_20220124091655_000000,172.19.131.174_20220124091655_000000,0.66,FORM_SUBMISSION -> STATIC_ASSET -> AUTH_ACTION,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_ADMIN_ACTION (p=0.0097)
10.143.2.25_20220122153927_000000,10.143.2.25_20220122153927_000000,0.65,STATIC_ASSET,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_DYNAMIC_QUERY (p=0.0543)
10.143.3.65_20220122055813_000000,10.143.3.65_20220122055813_000000,0.65,STATIC_ASSET -> CLIENT_ERR,Rare transition: AUTH_ACTION -> [MACHINE_SPEED]_ADMIN_ACTION (p=0.0023)
10.143.2.25_20220123122134_000000,10.143.2.25_20220123122134_000000,0.64,STATIC_ASSET -> ADMIN_ACTION -> GENERIC_GET,Rare transition: GENERIC_GET -> [SESSION_RESUME]_STATIC_ASSET (p=0.0012)
10.143.3.65_20220121091230_000000,10.143.3.65_20220121091230_000000,0.64,GENERIC_GET -> AUTH_ACTION -> STATIC_ASSET -> SENSITIVE_FILE_ACCESS,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_CLIENT_ERR (p=0.0019)
10.143.2.25_20220121135608_000000,10.143.2.25_20220121135608_000000,0.63,GENERIC_GET -> STATIC_ASSET -> DYNAMIC_QUERY,Rare transition: GENERIC_GET -> [SESSION_RESUME]_STATIC_ASSET (p=0.0012)
10.143.2.25_20220122090338_000000,10.143.2.25_20220122090338_000000,0.63,STATIC_ASSET -> DYNAMIC_QUERY,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_ADMIN_ACTION (p=0.0097)
10.143.2.91_20220122091246_000000,10.143.2.91_20220122091246_000000,0.62,STATIC_ASSET -> GENERIC_GET -> AUTH_ACTION,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0167)
10.143.2.25_20220124082250_000000,10.143.2.25_20220124082250_000000,0.62,STATIC_ASSET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0167)
172.19.131.174_20220122164723_000000,172.19.131.174_20220121104550_000000,0.6,FORM_SUBMISSION -> DYNAMIC_QUERY -> SENSITIVE_FILE_ACCESS,Rare transition: DYNAMIC_QUERY -> [MACHINE_SPEED]_ADMIN_ACTION (p=0.0016)
172.19.130.68_20220123162148_000000,172.19.130.68_20220123162148_000000,0.58,GENERIC_GET -> STATIC_ASSET,Rare transition: DYNAMIC_QUERY -> [HUMAN_SPEED]_WAF_ALERT (p=0.0049)
10.143.2.91_20220121124839_000000,10.143.2.91_20220121124839_000000,0.58,FORM_SUBMISSION -> SENSITIVE_FILE_ACCESS,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0167)
172.19.131.174_20220121075137_000000,172.19.131.174_20220121075137_000000,0.58,GENERIC_GET -> STATIC_ASSET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_ADMIN_ACTION (p=0.0097)
10.143.2.25_20220122140951_000000,10.143.2.25_20220122140951_000000,0.57,GENERIC_GET -> STATIC_ASSET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_ADMIN_ACTION (p=0.0097)
10.143.2.91_20220122093713_000000,10.143.2.91_20220122093713_000000,0.57,FORM_SUBMISSION -> GENERIC_GET -> SENSITIVE_FILE_ACCESS,Rare transition: FORM_SUBMISSION -> [SESSION_RESUME]_GENERIC_GET (p=0.0012)
10.143.2.91_20220121115038_000000,10.143.2.91_20220121115038_000000,0.57,STATIC_ASSET -> GENERIC_GET,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_GENERIC_GET (p=0.1103)
10.143.2.25_20220123080612_000000,10.143.2.25_20220123080612_000000,0.57,STATIC_ASSET -> AUTH_ACTION -> GENERIC_GET,Rare transition: FORM_SUBMISSION -> [MACHINE_SPEED]_SENSITIVE_FILE_ACCESS (p=0.0310)
10.143.3.65_20220121204908_000000,10.143.3.65_20220121204908_000000,0.56,STATIC_ASSET -> AUTH_ACTION,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_CLIENT_ERR (p=0.0078)
10.143.3.65_20220124191504_000000,10.143.3.65_20220124191504_000000,0.56,GENERIC_GET -> DYNAMIC_QUERY -> STATIC_ASSET -> ADMIN_ACTION,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_ADMIN_ACTION (p=0.0097)
10.143.2.25_20220123153311_000000,10.143.2.25_20220123153311_000000,0.56,ADMIN_ACTION -> STATIC_ASSET,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_WAF_ALERT (p=0.0012)
10.143.3.65_20220123162148_000000,10.143.3.65_20220123162148_000000,0.56,GENERIC_GET -> STATIC_ASSET -> DYNAMIC_QUERY,Rare transition: DYNAMIC_QUERY -> [HUMAN_SPEED]_WAF_ALERT (p=0.0049)
10.143.2.25_20220123195745_000000,10.143.2.25_20220123195745_000000,0.55,GENERIC_GET -> STATIC_ASSET -> DYNAMIC_QUERY,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_DYNAMIC_QUERY (p=0.0543)
172.19.131.174_20220124081912_000000,172.19.131.174_20220124081912_000000,0.55,GENERIC_GET -> SENSITIVE_FILE_ACCESS -> FORM_SUBMISSION -> STATIC_ASSET,Rare transition: FORM_SUBMISSION -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0060)
172.19.131.174_20220121063014_000000,172.19.131.174_20220121063014_000000,0.54,STATIC_ASSET -> AUTH_ACTION,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0167)
10.143.2.25_20220121194041_000000,10.143.2.25_20220121194041_000000,0.54,FORM_SUBMISSION -> GENERIC_GET -> STATIC_ASSET,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_WAF_ALERT (p=0.0012)
10.143.2.25_20220122080545_000000,10.143.2.25_20220122080545_000000,0.54,DYNAMIC_QUERY -> STATIC_ASSET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_ADMIN_ACTION (p=0.0097)
10.143.3.65_20220124164952_000000,10.143.3.65_20220124164952_000000,0.54,DYNAMIC_QUERY -> STATIC_ASSET -> ADMIN_ACTION -> GENERIC_GET,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_CLIENT_ERR (p=0.0078)
10.143.2.91_20220123073925_000000,10.143.2.91_20220123073925_000000,0.53,STATIC_ASSET -> AUTH_ACTION,Rare transition: SENSITIVE_FILE_ACCESS -> [MACHINE_SPEED]_AUTH_ACTION (p=0.0167)
10.143.2.91_20220123112724_000000,10.143.2.91_20220123112724_000000,0.53,AUTH_ACTION -> GENERIC_GET -> STATIC_ASSET,Rare transition: SENSITIVE_FILE_ACCESS -> [MACHINE_SPEED]_AUTH_ACTION (p=0.0167)
10.143.3.65_20220124133832_000000,10.143.3.65_20220124133832_000000,0.53,STATIC_ASSET,Rare transition: SENSITIVE_FILE_ACCESS -> [MACHINE_SPEED]_AUTH_ACTION (p=0.0167)
10.143.3.65_20220121083217_000000,10.143.3.65_20220121083217_000000,0.53,GENERIC_GET -> AUTH_ACTION -> STATIC_ASSET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0167)
10.143.3.65_20220124091312_000000,10.143.3.65_20220124091312_000000,0.52,GENERIC_GET -> CLIENT_ERR -> STATIC_ASSET,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_CLIENT_ERR (p=0.0019)
172.19.131.174_20220123044819_000000,172.19.131.174_20220121104550_000000,0.51,DYNAMIC_QUERY -> SENSITIVE_FILE_ACCESS,Rare transition: SENSITIVE_FILE_ACCESS -> [HUMAN_SPEED]_ADMIN_ACTION (p=0.0020)
10.143.2.25_20220121125035_000000,10.143.2.25_20220121125035_000000,0.51,GENERIC_GET -> AUTH_ACTION -> STATIC_ASSET,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0085)
10.143.2.25_20220123055009_000000,10.143.2.25_20220123055009_000000,0.5,STATIC_ASSET -> AUTH_ACTION -> GENERIC_GET,Rare transition: SENSITIVE_FILE_ACCESS -> [MACHINE_SPEED]_AUTH_ACTION (p=0.0167)
10.143.2.25_20220121115425_000000,10.143.2.25_20220121115425_000000,0.5,GENERIC_GET -> STATIC_ASSET,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_STATIC_ASSET (p=0.0822)
10.143.3.65_20220123133228_000000,10.143.3.65_20220123133228_000000,0.5,STATIC_ASSET,Rare transition: FORM_SUBMISSION -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0060)
10.143.2.25_20220121203619_000000,10.143.2.25_20220121203619_000000,0.49,STATIC_ASSET,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_SENSITIVE_FILE_ACCESS (p=0.0415)
172.19.130.68_20220124113702_000000,172.19.130.68_20220124113702_000000,0.49,STATIC_ASSET -> GENERIC_GET -> DYNAMIC_QUERY,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0085)
10.143.2.25_20220121183959_000000,10.143.2.25_20220121183959_000000,0.49,GENERIC_GET -> AUTH_ACTION -> STATIC_ASSET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0167)
172.19.131.174_20220124094620_000000,172.19.131.174_20220124094620_000000,0.48,STATIC_ASSET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_CLIENT_ERR (p=0.0027)
10.143.2.25_20220121091409_000000,10.143.2.25_20220121091409_000000,0.48,STATIC_ASSET -> GENERIC_GET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_GENERIC_GET (p=0.0204)
10.143.2.25_20220121122049_000000,10.143.2.25_20220121122049_000000,0.47,GENERIC_GET -> STATIC_ASSET -> DYNAMIC_QUERY,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_DYNAMIC_QUERY (p=0.0543)
10.143.2.25_20220124090009_000000,10.143.2.25_20220124090009_000000,0.47,FORM_SUBMISSION -> GENERIC_GET -> STATIC_ASSET,Rare transition: AUTH_ACTION -> [MACHINE_SPEED]_DYNAMIC_QUERY (p=0.0101)
172.19.131.174_20220124074931_000000,172.19.131.174_20220124074931_000000,0.46,STATIC_ASSET -> AUTH_ACTION -> GENERIC_GET,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_SENSITIVE_FILE_ACCESS (p=0.0314)
10.143.2.25_20220122155838_000000,10.143.2.25_20220122155838_000000,0.46,AUTH_ACTION -> STATIC_ASSET,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0085)
10.143.3.65_20220121062944_000000,10.143.3.65_20220121062944_000000,0.46,GENERIC_GET -> STATIC_ASSET,Rare transition: FORM_SUBMISSION -> [MACHINE_SPEED]_DYNAMIC_QUERY (p=0.0101)
10.143.2.25_20220124133305_000000,10.143.2.25_20220124133305_000000,0.45,GENERIC_GET -> STATIC_ASSET,Rare transition: AUTH_ACTION -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0124)
10.143.3.65_20220123074028_000000,10.143.3.65_20220123074028_000000,0.45,STATIC_ASSET -> GENERIC_GET,Rare transition: AUTH_ACTION -> [MACHINE_SPEED]_ADMIN_ACTION (p=0.0023)
10.143.2.25_20220123135411_000000,10.143.2.25_20220123135411_000000,0.45,STATIC_ASSET,Rare transition: SENSITIVE_FILE_ACCESS -> [MACHINE_SPEED]_FORM_SUBMISSION (p=0.0236)
10.143.2.25_20220122170812_000000,10.143.2.25_20220122170812_000000,0.45,STATIC_ASSET -> GENERIC_GET,Rare transition: FORM_SUBMISSION -> [MACHINE_SPEED]_DYNAMIC_QUERY (p=0.0101)
172.19.131.174_20220123202709_000000,172.19.131.174_20220123202709_000000,0.44,STATIC_ASSET -> AUTH_ACTION -> GENERIC_GET,Rare transition: AUTH_ACTION -> [MACHINE_SPEED]_SENSITIVE_FILE_ACCESS (p=0.0383)
10.143.2.25_20220122132846_000000,10.143.2.25_20220122132846_000000,0.44,STATIC_ASSET -> GENERIC_GET,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_DYNAMIC_QUERY (p=0.0543)
10.143.2.91_20220123124518_000000,10.143.2.91_20220123124518_000000,0.43,ADMIN_ACTION -> STATIC_ASSET,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_CLIENT_ERR (p=0.0078)
10.143.2.25_20220121161406_000000,10.143.2.25_20220121161406_000000,0.43,STATIC_ASSET,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_DYNAMIC_QUERY (p=0.0543)
172.19.131.174_20220123183741_000000,172.19.131.174_20220123183741_000000,0.43,GENERIC_GET -> AUTH_ACTION -> STATIC_ASSET,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_CLIENT_ERR (p=0.0027)
10.143.2.25_20220122062509_000000,10.143.2.25_20220122062509_000000,0.43,GENERIC_GET -> AUTH_ACTION -> STATIC_ASSET,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0085)
10.143.2.25_20220123152735_000000,10.143.2.25_20220123152735_000000,0.43,STATIC_ASSET,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_DYNAMIC_QUERY (p=0.0543)
10.143.2.25_20220121095756_000000,10.143.2.25_20220121095756_000000,0.43,STATIC_ASSET,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_DYNAMIC_QUERY (p=0.0178)
10.143.2.25_20220124112537_000000,10.143.2.25_20220124112537_000000,0.42,STATIC_ASSET -> AUTH_ACTION,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_WAF_ALERT (p=0.0012)
10.143.2.25_20220123100851_000000,10.143.2.25_20220123100851_000000,0.42,STATIC_ASSET,Rare transition: DYNAMIC_QUERY -> [HUMAN_SPEED]_WAF_ALERT (p=0.0049)
172.19.131.174_20220124164624_000000,172.19.131.174_20220124164624_000000,0.41,GENERIC_GET -> ADMIN_ACTION -> STATIC_ASSET,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_ADMIN_ACTION (p=0.0023)
10.143.2.25_20220124095730_000000,10.143.2.25_20220124095730_000000,0.41,GENERIC_GET -> AUTH_ACTION -> STATIC_ASSET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0167)
10.143.2.25_20220121162013_000000,10.143.2.25_20220121162013_000000,0.41,STATIC_ASSET -> ADMIN_ACTION -> GENERIC_GET,Rare transition: DYNAMIC_QUERY -> [MACHINE_SPEED]_GENERIC_GET (p=0.0252)
10.143.2.25_20220122105602_000000,10.143.2.25_20220122105602_000000,0.41,STATIC_ASSET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0167)
172.19.130.68_20220124073612_000000,172.19.130.68_20220124073612_000000,0.41,GENERIC_GET -> STATIC_ASSET,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_DYNAMIC_QUERY (p=0.0178)
10.143.3.65_20220124143539_000000,10.143.3.65_20220124143539_000000,0.41,GENERIC_GET -> STATIC_ASSET,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_CLIENT_ERR (p=0.0078)
10.143.2.25_20220122091537_000000,10.143.2.25_20220122091537_000000,0.4,STATIC_ASSET -> ADMIN_ACTION -> GENERIC_GET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_GENERIC_GET (p=0.0204)
10.143.2.91_20220123141008_000000,10.143.2.91_20220123141008_000000,0.4,CLIENT_ERR -> GENERIC_GET -> STATIC_ASSET,Rare transition: GENERIC_GET -> [SESSION_RESUME]_STATIC_ASSET (p=0.0012)
10.143.3.65_20220123144857_000000,10.143.3.65_20220123144857_000000,0.4,GENERIC_GET -> CLIENT_ERR -> STATIC_ASSET,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_CLIENT_ERR (p=0.0019)
172.19.130.68_20220121062945_000000,172.19.130.68_20220121062945_000000,0.4,STATIC_ASSET -> ADMIN_ACTION,Rare transition: FORM_SUBMISSION -> [MACHINE_SPEED]_DYNAMIC_QUERY (p=0.0101)
10.143.2.25_20220123071221_000000,10.143.2.25_20220123071221_000000,0.4,GENERIC_GET -> AUTH_ACTION -> STATIC_ASSET,Rare transition: DYNAMIC_QUERY -> [HUMAN_SPEED]_WAF_ALERT (p=0.0049)
172.19.131.174_20220121164557_000000,172.19.131.174_20220121104550_000000,0.39,GENERIC_GET -> DYNAMIC_QUERY,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_CLIENT_ERR (p=0.0027)
172.19.130.68_20220124122853_000000,172.19.130.68_20220124122853_000000,0.39,STATIC_ASSET,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_WAF_ALERT (p=0.0012)
172.19.130.68_20220121105343_000000,172.19.130.68_20220121105343_000000,0.39,GENERIC_GET -> STATIC_ASSET,Rare transition: DYNAMIC_QUERY -> [MACHINE_SPEED]_AUTH_ACTION (p=0.0033)
10.143.3.65_20220122082300_000000,10.143.3.65_20220122082300_000000,0.38,STATIC_ASSET -> GENERIC_GET -> AUTH_ACTION,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0085)
10.143.3.65_20220121220142_000000,10.143.3.65_20220121220142_000000,0.37,STATIC_ASSET,Rare transition: DYNAMIC_QUERY -> [MACHINE_SPEED]_GENERIC_GET (p=0.0252)
172.19.130.68_20220123175644_000000,172.19.130.68_20220123175644_000000,0.37,STATIC_ASSET,Rare transition: DYNAMIC_QUERY -> [HUMAN_SPEED]_WAF_ALERT (p=0.0049)
172.19.130.68_20220124165627_000000,172.19.130.68_20220124165627_000000,0.37,STATIC_ASSET,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_ADMIN_ACTION (p=0.0004)
10.143.2.25_20220124073612_000000,10.143.2.25_20220124073612_000000,0.36,GENERIC_GET -> AUTH_ACTION -> STATIC_ASSET,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0085)
172.19.130.68_20220121120211_000000,172.19.130.68_20220121120211_000000,0.34,AUTH_ACTION -> GENERIC_GET -> STATIC_ASSET,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_ADMIN_ACTION (p=0.0004)
172.19.130.68_20220124090751_000000,172.19.130.68_20220124090751_000000,0.34,GENERIC_GET -> STATIC_ASSET,Rare transition: AUTH_ACTION -> [MACHINE_SPEED]_DYNAMIC_QUERY (p=0.0101)
10.143.2.91_20220121141244_000000,10.143.2.91_20220121141244_000000,0.34,STATIC_ASSET -> ADMIN_ACTION,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_CLIENT_ERR (p=0.0027)
172.19.130.68_20220121071246_000000,172.19.130.68_20220121071246_000000,0.34,STATIC_ASSET -> ADMIN_ACTION,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_GENERIC_GET (p=0.0204)
10.143.2.25_20220121123620_000000,10.143.2.25_20220121123620_000000,0.34,STATIC_ASSET,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_DYNAMIC_QUERY (p=0.0543)
10.143.2.25_20220122175659_000000,10.143.2.25_20220122175659_000000,0.34,GENERIC_GET -> STATIC_ASSET,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_SENSITIVE_FILE_ACCESS (p=0.0415)
172.19.131.174_20220124174519_000000,172.19.131.174_20220124174519_000000,0.33,STATIC_ASSET,Rare transition: AUTH_ACTION -> [MACHINE_SPEED]_ADMIN_ACTION (p=0.0023)
10.143.2.91_20220123163642_000000,10.143.2.91_20220123163642_000000,0.33,STATIC_ASSET,Rare transition: AUTH_ACTION -> [MACHINE_SPEED]_SENSITIVE_FILE_ACCESS (p=0.0383)
10.143.2.25_20220121180956_000000,10.143.2.25_20220121180956_000000,0.33,GENERIC_GET -> STATIC_ASSET,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_DYNAMIC_QUERY (p=0.0178)
172.19.130.68_20220122120333_000000,172.19.130.68_20220121120211_000000,0.32,SENSITIVE_FILE_ACCESS -> DYNAMIC_QUERY,Rare transition: ADMIN_ACTION -> [MACHINE_SPEED]_GENERIC_GET (p=0.0041)
172.19.130.68_20220124150233_000000,172.19.130.68_20220124150233_000000,0.32,STATIC_ASSET -> GENERIC_GET,Rare transition: DYNAMIC_QUERY -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0197)
10.143.2.25_20220122125442_000000,10.143.2.25_20220122125442_000000,0.31,STATIC_ASSET -> GENERIC_GET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_DYNAMIC_QUERY (p=0.0523)
10.143.2.25_20220122154857_000000,10.143.2.25_20220122154857_000000,0.29,STATIC_ASSET -> SENSITIVE_FILE_ACCESS,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0167)
10.143.3.65_20220121132842_000000,10.143.3.65_20220121132842_000000,0.28,FORM_SUBMISSION,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_DYNAMIC_QUERY (p=0.0523)
172.19.130.68_20220124133305_000000,172.19.130.68_20220124133305_000000,0.28,GENERIC_GET -> STATIC_ASSET,Rare transition: DYNAMIC_QUERY -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0197)
10.143.2.91_20220122110717_000000,10.143.2.91_20220122110717_000000,0.28,GENERIC_GET -> STATIC_ASSET,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_CLIENT_ERR (p=0.0078)
172.19.131.174_20220123181235_000000,172.19.131.174_20220123181235_000000,0.27,STATIC_ASSET,Rare transition: ADMIN_ACTION -> [MACHINE_SPEED]_GENERIC_GET (p=0.0041)
